#Organism group,Strain,Isolate,Create date,Location,Isolation source,AMR genotypes,Virulence genotypes,Stress genotypes,AST phenotypes,Host disease
"Staphylococcus pseudintermedius","K21_H1","PDT000795942.1","2020-07-24T17:15:47Z","USA","K9 skin swab","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,catA=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","K21_G6","PDT000795943.1","2020-07-24T17:15:47Z","USA","K9 wound","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,catA=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qac=HMM",,"Infection"
"Staphylococcus pseudintermedius","K10_E8","PDT000795944.1","2020-07-24T17:15:47Z","USA","K9 skin swab","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=HMM,mecA=COMPLETE,mecR1=PARTIAL,tet(M)=COMPLETE","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","K21_G1","PDT000795945.1","2020-07-24T17:15:48Z","USA","K9 drain tract","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM,mecA=COMPLETE,mecR1=PARTIAL,tet(M)=COMPLETE","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","K21_F6","PDT000795946.1","2020-07-24T17:15:48Z","USA","K9 TPLO","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,catA=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K20_B4","PDT000795947.1","2020-07-24T17:15:48Z","USA","K9 lesion","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,catA=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","K20_A4","PDT000795948.1","2020-07-24T17:15:48Z","USA","K9 abscess","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,lnu(A)=COMPLETE,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE","merA=HMM,qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K19_H5","PDT000795949.1","2020-07-24T17:15:49Z","USA","K9 wound","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=HMM,mecA=COMPLETE,mecR1=PARTIAL","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K17_E3","PDT000795950.1","2020-07-24T17:15:49Z","USA","K9 skin swab","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K17_A6","PDT000795951.1","2020-07-24T17:15:49Z","USA","K9 tail wound","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,lnu(A)=COMPLETE,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE","merA=HMM",,"Infection"
"Staphylococcus pseudintermedius","K17_A4","PDT000795952.1","2020-07-24T17:15:49Z","USA","K9 abscess","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM,mecA=COMPLETE,mecR1=PARTIAL","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K16_E9","PDT000795953.1","2020-07-24T17:15:50Z","USA","K9 wound","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K16_D2","PDT000795954.1","2020-07-24T17:15:50Z","USA","K9 paw","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE,seq=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","H45776","PDT000795955.1","2020-07-24T17:15:51Z","USA","K9 lesion","aac(6')-Ie/aph(2'')-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K16_B2","PDT000795956.1","2020-07-24T17:15:51Z","USA","K9 skin swab","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K15_G6","PDT000795957.1","2020-07-24T17:15:51Z","USA","K9 skin swab","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM,grlA_S80I=POINT,mecA=COMPLETE,mecR1=PARTIAL","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K15_F2","PDT000795958.1","2020-07-24T17:15:52Z","USA","K9 abscess swab","aac(6')-Ie/aph(2'')-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,mecA=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K15_A5","PDT000795959.1","2020-07-24T17:15:52Z","USA","K9 amputation site","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","K14_H9","PDT000795960.1","2020-07-24T17:15:52Z","USA","K9 skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,mecA=COMPLETE,mecR1=PARTIAL","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K14_H5","PDT000795961.1","2020-07-24T17:15:53Z","USA","K9 skin","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE","merA=HMM,qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K14_G7","PDT000795962.1","2020-07-24T17:15:53Z","USA","K9 wound","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","K14_F9","PDT000795963.1","2020-07-24T17:15:54Z","USA","K9 sx swab","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","K14_F8","PDT000795964.1","2020-07-24T17:15:55Z","USA","K9 sx swab","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,lnu(A)=COMPLETE,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE","merA=HMM,qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","K14_E8","PDT000795965.1","2020-07-24T17:15:55Z","USA","K9 skin wound","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius","B24733","PDT000795966.1","2020-07-24T17:15:56Z","USA","K9 abdominal swab","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","Abscess","PDT000795967.1","2020-07-24T17:15:56Z","USA","K9 abscess","aac(6')-Ie/aph(2'')-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM,grlA_D84N=POINT","icaC=COMPLETE",,,"Infection"
"Staphylococcus pseudintermedius","SP_11306-4A","PDT000920798.1","2020-12-20T12:58:45Z","USA:Georgia","skin","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE","icaC=COMPLETE",,,"Canine pyoderma"
"Staphylococcus pseudintermedius","SP_11304-3A","PDT000920799.1","2020-12-20T12:59:45Z","USA:Georgia","skin","blaI=COMPLETE,blaR1=HMM,blaZ=COMPLETE,fosB=HMM","icaC=COMPLETE",,,"Canine pyoderma"
"Staphylococcus pseudintermedius","SP_11304-2A","PDT000920800.1","2020-12-20T13:01:38Z","USA:Georgia","skin","fosB=HMM","icaC=COMPLETE",,,"Canine pyoderma"
"Staphylococcus pseudintermedius","SP_11306-1A","PDT000920801.1","2020-12-20T13:02:50Z","USA:Georgia","skin","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Canine pyoderma"
"Staphylococcus pseudintermedius","SP_11304-1A","PDT000920802.1","2020-12-20T13:03:52Z","USA:Georgia","skin","fosB=HMM",,,,"Canine pyoderma"
"Staphylococcus pseudintermedius","SP_9261-1A","PDT000920803.1","2020-12-20T13:04:49Z","USA:Georgia","skin","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Canine pyoderma"
"Staphylococcus pseudintermedius","MAD487","PDT000948251.1","2021-02-03T13:35:00Z","USA: Ohio","HANDS","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=MISTRANSLATION,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE","qacJ=COMPLETE",,
"Staphylococcus pseudintermedius","MAD486","PDT000948253.1","2021-02-03T13:35:10Z","USA: Ohio","HANDS","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE","qacJ=COMPLETE",,
"Staphylococcus pseudintermedius","MAD479","PDT000948255.1","2021-02-03T13:35:22Z","USA: Ohio","HANDS","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE","qacJ=COMPLETE",,
"Staphylococcus pseudintermedius",,"PDT001123358.2","2022-04-14T15:34:24Z","USA: MI","Not collected","abc-f=HMM,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE","icaC=COMPLETE",,,"Cystitis"
"Staphylococcus pseudintermedius",,"PDT001123359.2","2022-04-14T15:34:25Z","USA: MI","Not collected","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Otitis"
"Staphylococcus pseudintermedius",,"PDT001123360.2","2022-04-14T15:34:25Z","USA: MI","Not collected","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,catA=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT001123361.2","2022-04-14T15:34:25Z","USA: LA","Not collected","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,fosB=HMM","icaC=COMPLETE",,,"Peritonitis"
"Staphylococcus pseudintermedius",,"PDT001123362.2","2022-04-14T15:34:26Z","USA: LA","Not collected","blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE","icaC=COMPLETE",,,"Otitis"
"Staphylococcus pseudintermedius",,"PDT001123363.2","2022-04-14T15:34:26Z","USA: LA","Not collected","aac(6')-Ie=HMM,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Abscess"
"Staphylococcus pseudintermedius",,"PDT001123364.2","2022-04-14T15:34:26Z","USA: LA","Not collected","ant(6)-Ia=COMPLETE,aph(2'')-Ia=HMM,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Cystitis"
"Staphylococcus pseudintermedius",,"PDT001123365.2","2022-04-14T15:34:26Z","USA: LA","Not collected","aac(6')-Ie=HMM,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,catA=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Pyoderma"
"Staphylococcus pseudintermedius",,"PDT001123366.2","2022-04-14T15:34:27Z","USA: LA","Not collected","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaPC1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(K)=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Otitis"
"Staphylococcus pseudintermedius",,"PDT001123367.2","2022-04-14T15:34:27Z","USA: LA","Not collected","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Cystitis"
"Staphylococcus pseudintermedius",,"PDT001123368.2","2022-11-22T18:38:57Z","USA: FL","Not collected","aac(6')-Ie/aph(2'')-Ia=COMPLETE,aac(6')-Ie=HMM,ant(6)-Ia=COMPLETE,aph(2'')-Ia=HMM,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Infection"
"Staphylococcus pseudintermedius",,"PDT001123369.2","2022-04-14T15:34:27Z","USA: LA","Not collected","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Pyelonephritis"
"Staphylococcus pseudintermedius",,"PDT001123370.2","2022-04-14T15:34:27Z","USA: LA","Not collected","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(K)=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Pythiosis"
"Staphylococcus pseudintermedius",,"PDT001123371.2","2022-04-14T15:34:28Z","USA: KY","Not collected",,"icaC=COMPLETE",,,"Lesions on muzzle"
"Staphylococcus pseudintermedius",,"PDT001123372.2","2022-04-14T15:34:28Z","USA: KY","Not collected","blaI=COMPLETE,blaI=PARTIAL_END_OF_CONTIG,blaR1=COMPLETE,blaR1=HMM,blaZ=COMPLETE,blaZ=PARTIAL_END_OF_CONTIG,fosB=HMM","icaC=COMPLETE",,,"Hematuria"
"Staphylococcus pseudintermedius",,"PDT001123373.2","2022-04-14T15:34:28Z","USA: KY","Not collected","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,catA=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Wound"
"Staphylococcus pseudintermedius",,"PDT001123374.2","2022-04-14T15:34:29Z","USA: KY","Not collected","aac(6')-Ie=HMM,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"Otitis"
"Staphylococcus pseudintermedius",,"PDT001123375.2","2022-04-14T15:34:29Z","USA: KY","Not collected","fosB=HMM,tet(M)=COMPLETE","icaC=COMPLETE",,,"Otitis"
"Staphylococcus pseudintermedius",,"PDT001123376.2","2022-04-14T15:34:29Z","USA: KY","Not collected","blaI=COMPLETE,fosB=HMM","icaC=COMPLETE",,,"Dermatitis"
"Staphylococcus pseudintermedius",,"PDT001123377.2","2022-04-14T15:34:29Z","USA: kY","Not collected","blaI=PARTIAL_END_OF_CONTIG,blaR1=PARTIAL_END_OF_CONTIG,blaZ=PARTIAL_END_OF_CONTIG,fosB=HMM","icaC=COMPLETE",,,"Aerobic Culture, Urinary tract Infection"
"Staphylococcus pseudintermedius",,"PDT001123378.2","2022-04-14T15:34:29Z","USA: kY","Not collected","erm(C)=COMPLETE,erm(C)=PARTIAL_END_OF_CONTIG,fosB=HMM","icaC=COMPLETE","qacG=COMPLETE",,"Aerobic Culture,Dermatitis"
"Staphylococcus pseudintermedius",,"PDT001123379.2","2022-11-22T18:38:57Z","USA: CO","Not collected","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,dfrG=COMPLETE,erm(B)=PARTIAL_END_OF_CONTIG,grlA_S80I=POINT,sat4=COMPLETE,sat4=PARTIAL_END_OF_CONTIG,tet(M)=COMPLETE","icaC=COMPLETE",,,"Upper respiratory infection"
"Staphylococcus pseudintermedius",,"PDT001123380.2","2022-04-14T15:34:30Z","USA: KS","Not collected","blaZ=PARTIAL_END_OF_CONTIG,fosB=HMM","icaC=COMPLETE",,,"CYSTITIS"
"Staphylococcus pseudintermedius",,"PDT001123381.2","2022-04-14T15:34:30Z","USA: KS","Not collected","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,blaZ=COMPLETE,fosB=HMM,mecA=COMPLETE,mecR1=PARTIAL","icaC=COMPLETE","qacG=COMPLETE",,"Not collected"
"Staphylococcus pseudintermedius",,"PDT001123382.2","2022-04-14T15:34:30Z","USA: IN","Not collected","fosB=HMM","icaC=COMPLETE",,,"pyometra"
"Staphylococcus pseudintermedius",,"PDT001123383.2","2022-04-14T15:34:31Z","USA: IN","Not collected","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"SSI"
"Staphylococcus pseudintermedius",,"PDT001123384.2","2022-04-14T15:34:31Z","USA: IN","Not collected","aac(6')-Ie/aph(2'')-Ia=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM,tet(M)=COMPLETE","icaC=COMPLETE",,,"fibrinohemorrhagic pseudomembrane"
"Staphylococcus pseudintermedius",,"PDT001123385.2","2022-04-14T15:34:31Z","USA: IN","Not collected","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=PARTIAL_END_OF_CONTIG,dfrG=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE","qacG=COMPLETE",,"conjunctivitis"
